id,k,original_nodes,original_edges,original_girth,original_vertex_connectivity,original_edge_connectivity,result_nodes,result_girth,result_vertex_connectivity,result_edge_connectivity,has_articulation,girth_preserved,is_k_regular,hamiltonian,original_graph6,result_graph6
0,3,10,15,5,3,3,20,5,3,3,False,True,True,True,IsP@PGUEO,S`_c@@?CA?A?@CAG?`?OG?`_@H?C`?B?_
1,3,38,57,4,3,3,76,4,3,3,False,True,True,,esP@@GOC???@?A?A????@??G??_??_??C??I?@?????_?OA?@?A??CO???G????OA?@?OA@?A?@C????_O???_?CO?C?GG?CA??C@??_?G?O??C?@???G?_,~?@K`_S?__O@?G?A?@?@@?GG?_?@??C??A???O??G???_??C???A???@????O???A????_???@????@?C???_A???C????A?????G?O??@??_???_?????O?????P?????AG???????????????G?????????????C?????GG?????@?_???@O?O????A_?O??????@????????O????C??_?????_?A??????G?G_?????O?P??????????????????C??????????????????G?????@??C??????A??C???I?????_???D?????G?????????G??????????_???G?????O????O?????O??????C???P??????A???G_??????????c??????????E????C?C????@????G?G????A????????c???????????W????????S??????O????A_?????A
2,3,26,39,5,3,3,52,5,3,3,False,True,True,,YsP@@GOC???@@A?a??_?B?_g??O?????K?OA?G?_OGG@??G?W?G?C?D?,s`_S?__O@?G?A?@?@@?GG?O?A??A??C???_??C??@???A???A???@????O?O?A?A??_???@????@G????o????C????A?????C?C???G?G???c?G???W?C????H?????O?@????`?????C??G????_?_???@??G????G?A????@??O???G??@???@???A???C???@???G???A?????D??O?????g?A
3,3,26,39,5,3,3,52,5,3,3,False,True,True,,YsP@H?ODO??@?A?A??_OG??_?a???G??S??A?_?O?A`?GK?A??K?GI??,s`_c@@?CA?A?@AA@?_?O??_?@??CP?AG_?_??C??@???A????_A??O@??C????_???A????C????O????G??????????G?G????????A?@?????g?????Q????CC?????_O????DC?????gC?????GC?????OA????_??_???C??C????C??C????G??G?????_?A?????O?@???@???CO???G???a
4,3,28,42,7,3,3,56,7,3,3,False,True,True,,[sP@@?OC???@AA?Q????@A?G?P_?????CA?I?C?_CG??__A?GCA@?C??COG?A?AA,w`_S?__O@?G?A?@?@??G??_?@??C??A???_??C??@???A???A???@???@????G????_A??@?C??C????A?????_????C????@?C???A?G???@G????AC?????_?O???O?A????_G????@?O????C?@????A??_????_?_?????G_?G???_?_?????AG?@???A???O????_?G?_???_??O????A??_@????A?A???????I??G????G?G???????I??C
5,3,14,21,4,3,3,28,4,3,3,False,True,True,True,MsP@P?XC_G?H?E@@_,[`_S?__O@?G?@CAG?_?O??cG@_OCC?AA??G??@???O???_???GI??CD???T???Ag
6,3,30,45,6,3,3,60,6,3,3,False,True,True,,]sP@@?OC???@?A?I????B??GAC_??_?G??AA@?a???Q?_?W?O?G?C?A?G??GP??@?C??_I???G,{`_S?__O@?G?A?@?@??G??_?@??C??A???P??G_??_O?C?_?A???@???@????G????O???A????@?O???_G???_????C?????O?????_?????g?G???S?C???O?O???A?A??????A?????G?G?????G?????G?C???A??G????O??_???@??G????A??G?????G?G?????C?C?????@????????G??????A???G????C???O???C????O???A????G????_??A_????C???S??????@?OC??????A?_G
7,3,54,81,6,3,3,108,6,3,3,False,True,True,,usP@@?OC???@?A?A??O?@??G?????W?AG?CS???_??A???????@???@???B_???C????_???@????A??????????T?@?C?O??_OA???????????@?????@??????_????cC????B?O?A?????????OC?????CA??@G??????????@G??????G???????W?g?????C?S?????@?a????C??Q????@??@_?????A?G_?????G?,~?@k`_S?__O@?G?A?@?@??G??_?@??C??A???_G?C@?@@??AA??A_??@O??@?O??GA???a???@C???@C????a????????????G??????????@?????G?????@?????C??????G?????A??????O??????O??????_??????A???????O??????C???????G???????G???????C???????C????????_????????g???????@O???????@?_???????`?????????G????????@?????????C?????????G???????__A???????OO@???????_?@???????O??G????????_G????????@?O??????????@G??????????o??????????@???????????G??????????C???????????@???????????G???????????A???????????A????????????G???????????C????????????C????????????C????????????A????????????A?????????????O????????????@?_???????????AC????????????GO????????????C_????????????@O?????????????I?????????????A??????????????C???????????????_?????????????@????????G??O???@???????@??G????_??????????????????????????????_`?????????????AA?????????????????_?????????????CP???????????????aA???AG??????????A????CO??????????@?????O??O_????????????G??H????????????a???G????????????CO??@??????????????A?????????S???????O?????????g??
8,3,78,117,6,3,3,156,6,3,3,False,True,True,,~?@MsP@@?OC???@?A?A??_?G??_?A??????CCOA?W?_??????@???A???A????????@????G????_????_????_????G????A???????????@?????A?????A?????S??????@?????c?????@_??????G_?????G??????AO??????_?????AA??????AG???????AA??????@@???????Q???????B?????@??O?????C??O????????@O????????g???????B?A_???????GP???????C?Q???????G???@?????????@????????AG??????O?@G??????C??@O??????O??W??????@??@O??????????????????C?@?A???????????_????????A?A???????????G??????????????????H???????????E???????????G_??????????A_?O??????????WC??????????AO,~?A[`_c@@?CA?A?@?A??_?O??_?@??C??A???a??CO?@?O?A?_?A???@???@?O??GA???__??@@???@?????_????g????D?????????????@????????????_????@??????C?????A??????A??????G??????A??????C???????O??????@???????A???????G???????C???????@????????G???????A????????C????????CG???????AO???????AA????????OO???????@?????????A?????????H?????????E??????????O?????????A??????GG??????????????Gg????__??????????????Gc??????????????????????G??????????????????????@????????C??G????????G??A????????@??C?????????G??O?????????I?C??????????S?C??????????D?_??????????A_G????????????A?????????????O????????????@?????????????A?????????????????????????????_???????????????????????????@??????????????_??????????????_?????????????C??????????????@??????????????@???????????????C??????????????A???????????????A???????????????A???????????????@???????????????@????????????????G????????????????_???????????????@????????????????C????????????????A?????????????????a????????????????CO???????????????@@????????????????AA????????????????A?????????????????@?????????????????@O?????????????????I??????????????????G??????????????????O???????????????????????????????????????C??????????????????????????????????????G??????????????????C???????????????????A??????????????????Q_??????????????????`C???????????????????C???????????????????A?????????????????A??G?????????????????C?@?????????????????????O????????????????????G?????????????????A??G??????????????????O?@??????????????????@??@C?????????????????A??AG?????????????????AO????????????????????@_?????????????????????D??????????????????????g???????????????????????GG?????????????????????OO?????????????????????S??????????????????????I?????_?????????????????@_???C??????????????????c????O????????????O?????O????_????????????_?????_????@????????????O?????_????A????????????_?????O?????????O???????????????????????A????????????????????_???????@??????????G????@????????G??????????O???C?????????_?????????@????A????????@???????????_???A????O????G???????????????O???G????@????????????????C???O???@?????????????????G???_???A????????????
9,3,42,63,4,3,3,84,4,3,3,False,True,True,,isP@@?PD???@?A?A??_?G??g?A???_?@C??A???O??O_??E??@A????????G???A????O???E???@???AG????O?A??O?G?O???A_O???oA???G??_???G?G??A?G@???_??C??A?CC???GA?,~?@S`_S?__O@?G?@?A??_?O??_G@?OCO?AG??_??C??@???A???A?A?@?@??G???C????O???A????@??O??_?G??G????@?????C?@???G?A????????????_???????????@??????_??????_?????C??????@??????@???????C??????A???????A???????@G??????AC???????_???????O????G???_G???O??@?O??@???C?????_??A?????????_????????C?????????O@????????_A????A??A??????@??@??????????O?????????A??????????G?G????????O?O?????????O??????????G??????????__?????????CC???????????D???????????I????G?????__????C?????OO????C??????`?????_?????OG????????????????G????A???G????????????????G????A???C????A_??????G?????S???????_???C?O??????O????G?_??????O
